domain,final_verdict,confidence,note
blog-forest.help,TOXIC,High,"AS0, spam TLD .help, randomized name"
domraider.eu.com,TOXIC,Med,"AS0, generic domain-hack TLD, no relevance"
domraider.gb.net,TOXIC,Med,"AS0, generic domain-hack TLD, no relevance"
domraider.it.com,TOXIC,Med,"AS0, generic domain-hack TLD, no relevance"
huntsvilletoprated.com,MONITOR,Low,"Huntsville area but 'toprated' listing-farm signal; ambiguous"
raven-frost.online,TOXIC,High,"AS0, spam TLD .online, randomized nonsense name"
solace-moon.online,TOXIC,High,"AS0, spam TLD .online, randomized nonsense name"
tempest-ash.online,TOXIC,High,"AS0, spam TLD .online, randomized nonsense name"
xylo-mist.online,TOXIC,High,"AS0, spam TLD .online, randomized nonsense name"
answersmeta.com,TOXIC,Med,"AS2, generic Q&A content-farm name"
ateliereleaurorei.ro,TOXIC,Med,"Romanian art site, off-topic foreign"
beepdreams.com,TOXIC,Med,"AS2, generic nonsense name"
besttownfencepros.com,KEEP,Low,"Fence/home-services, US, ~1yr history; plausible legit"
blc-eu.com,TOXIC,Med,"AS2, foreign CZ, generic name"
blinks.monster,TOXIC,High,"spam TLD .monster, link-farm name"
blogerreviewers.com,TOXIC,High,"review/blog farm name"
bluecantera.com,TOXIC,Low,"AS2, generic name, no relevance"
carolinaserviceslandscaping.com,KEEP,Med,"Real landscaping company, US, long history"
changingfaceshousing.com,KEEP,Low,"Genuine US housing org, non-spam"
cityvetted.com,TOXIC,Med,"'vetted' directory/review farm, foreign FR"
cmocheatsheets.com,TOXIC,Low,"Marketing content site, off-topic"
corner-writers.blog,TOXIC,Med,"article/writer farm, .blog TLD"
coruzants.com,TOXIC,Med,"AS2, nonsense name, single-day"
cvillico.com,TOXIC,Low,"AS2, generic name, no relevance"
daily-hacks.pages.dev,TOXIC,High,"free pages.dev host, content-farm name"
decoratingmom.com,TOXIC,Low,"Interior-decor blog, off-topic, farm pattern"
decoratingnerds.com,TOXIC,Low,"Interior-decor blog, off-topic, farm pattern"
echoz.pages.dev,TOXIC,High,"free pages.dev host, nonsense name"
entrepreneurscruise.com,TOXIC,Med,"business content farm, off-topic"
fashionclothingnews.com,TOXIC,Med,"fashion news content farm, off-topic"
fastlifesite.com,TOXIC,Med,"generic content farm, single-day"
findbiz.info,TOXIC,High,"business directory farm, .info"
findtor.com,TOXIC,Low,"AS2, generic name, no relevance"
fixhubs.net,TOXIC,Low,"generic 'fix hub' template farm"
flamingos.pages.dev,TOXIC,High,"free pages.dev host, nonsense name"
gardenshaper.com,TOXIC,Low,"garden-ish but foreign NL, generic"
ggmap.co.com,TOXIC,Med,"generic domain-hack .co.com"
ggmap.us.com,TOXIC,Med,"generic domain-hack .us.com"
gladeflowers.com,TOXIC,Low,"AS2, generic, single-day"
greenhouseblack.com,KEEP,Low,"Garden/greenhouse relevance, US, long history"
harian24.com,TOXIC,Med,"Indonesian news, off-topic foreign"
hatcherlandscapepartners.com,KEEP,Med,"Real landscape company, US, long history"
horizon-layer.live,TOXIC,High,"spam TLD .live, nonsense name"
houseimprovementcenter.com,KEEP,Low,"Home-improvement adjacency, plausible legit"
huldra.pages.dev,TOXIC,High,"free pages.dev host, nonsense name"
israelmilitaria.blogspot.com,TOXIC,Med,"blogspot militaria, off-topic, 60 sitewide links"
ivcfddhbsa.blogspot.com,TOXIC,High,"gibberish blogspot subdomain"
kitabibrothers.com,TOXIC,Med,"India books site, off-topic foreign"
knows.sbs,TOXIC,High,"spam TLD .sbs, generic name"
lawyerinjeddah.com,TOXIC,Med,"Jeddah lawyer, off-topic foreign"
libyanatravel.com,TOXIC,Med,"Libya travel, off-topic foreign"
listglobe.com,TOXIC,High,"listing directory farm, foreign SE"
littlerocklawnlandscaping.com,TOXIC,Med,"lawn name but Bangladesh hosting, spam"
localbizsphere.com,TOXIC,High,"local business directory farm"
localbizzz.com,TOXIC,High,"local business directory farm"
lydiaroyrealestate.com,KEEP,Low,"Genuine local realtor, real name"
marathiladies.com,TOXIC,Med,"India women's content, off-topic; shared farm IP"
