domain,final_verdict,confidence,note
besttownfencepros.com,TOXIC,High,Auto-generated fence-contractor listing directory; scraper spam
carolinaserviceslandscaping.com,KEEP,Med,Real landscaping business; on-topic low authority
changingfaceshousing.com,KEEP,High,Real Sacramento 501c3 supportive-housing nonprofit
greenhouseblack.com,KEEP,Med,Real home/garden content blog; low authority
hatcherlandscapepartners.com,KEEP,Med,Real landscape business name; on-topic
houseimprovementcenter.com,MONITOR,Low,Inactive/unverifiable low-authority home-improvement site
lydiaroyrealestate.com,KEEP,Med,Real real-estate agent site; off-topic legitimate
snowlawn.net,TOXIC,High,Programmatic snow/lawn lead-gen directory; thin auto-pages
southboundlandscape.com,KEEP,Med,Real landscaping business; on-topic
yardclue.com,MONITOR,Low,Brand-new AS2 yard site; unverifiable
yardislife.com,KEEP,Med,Real gardening blog; on-topic
1stcallglasscare.com,KEEP,Med,Real glass-care service business; off-topic legitimate
turfinstallpros.com,TOXIC,High,Thin programmatic turf-installer advertising directory
eliotzigmundjazz.com,KEEP,Med,Real jazz musician site; off-topic legitimate
unifiedgarden.com,KEEP,Med,Real gardening blog since 2016; on-topic
housesumo.com,KEEP,Med,Real home/real-estate content blog
bermudagrassbible.com,KEEP,Med,On-topic lawn niche blog; low authority
dreamlandsdesign.com,KEEP,Med,Real home/design lifestyle blog
houseandhomeonline.com,KEEP,Med,Real home lifestyle content site
landscapeatlas.com,TOXIC,Med,Programmatic landscaping city-page directory; low authority
olivebranchmagazine.com,KEEP,High,Local Olive Branch MS magazine; relevant
residencestyle.com,KEEP,Med,Real home/lifestyle content blog
smoothdecorator.com,KEEP,Med,Real home decor blog
richwaylandscape.com,KEEP,Med,Real landscaping business; on-topic
allphazeirrigation.com,KEEP,Med,Real irrigation service business; on-topic
designbysully.com,KEEP,Med,Real design portfolio site; off-topic legitimate
natureandsustainability.com,KEEP,Med,Real sustainability/nature content blog
pflanzensache.de,KEEP,Med,Real German gardening/plant site; on-topic
completegardening.com,KEEP,Med,On-topic gardening content site
outsidetheboxmom.com,KEEP,Med,Real lifestyle/mom blog; off-topic legitimate
bloggerinterrupted.com,KEEP,Med,Real lifestyle blog; off-topic legitimate
contractorsup.com,MONITOR,Med,Contractor lead-gen directory network; borderline value
yplocal.us,KEEP,High,Recognized local business directory platform
domaineye.com,KEEP,Med,Real domain-research SaaS tool; off-topic
plantisima.com,KEEP,Med,Real gardening/plant blog; on-topic
renovationsup.com,MONITOR,Med,Contractor directory sharing IP with contractorsup
howto.org,KEEP,Med,Established how-to reference site
freeplants.com,KEEP,Med,Real gardening/nursery site; on-topic
ohsospotless.com,KEEP,Med,Real cleaning/home lifestyle blog
aesbid.com,KEEP,Med,Real auction/event bidding platform; off-topic
alcturf.com.au,KEEP,Med,Real Australian turf company; on-topic
