domain,decision,priority,confidence,category,why,anchor_type,example_anchor,backlink_url,follow,bl_count,dofollow_n,nofollow_n,link_checked,dr,ascore,authority,traffic,positions,is_spam,links,ip,country,tier_reason,evidence,qa_note
ineed2pee.com,DISAVOW,P1 – Core (disavow),HIGH,Adult spam,Adult spam,,http://ngwindows.com/blog/top-3-trends-in-todays-sunroom-additions/,http://www.ineed2pee.com/blog/?p=36,nofollow,1,0,1,yes,0.0,10,10,0,0,,1,216.201.82.231,us,,footprint: Adult spam,
submissivewomendominated.us,DISAVOW,P1 – Core (disavow),HIGH,Adult spam,Adult spam,other/generic,.,http://www.submissivewomendominated.us/the-bow-window.html,dofollow,,,,yes,0.0,0,0,0,0,,3,,,,"footprint: Adult spam | dead (auth=0,0 traffic,0 kw)",
bestwebstats.com,DISAVOW,P1 – Core (disavow),HIGH,Auto-generated stats / worth-checker,Auto-generated stats / scraper page,,performingwindows.com,https://bestwebstats.com/page-18c6f7b2b74807a8ca4d96aec043dde8.html,dofollow,61,61,0,yes,0.0,2,2,0,0,,61,184.168.115.60,sg,,"footprint: Auto-generated stats / worth-checker | link-network IP 184.168.115.60 (+8 siblings) | known link-farm IP block | dead (auth=2,0 traffic,0 kw)",
complaintinfo.com,DISAVOW,P1 – Core (disavow),HIGH,Auto-generated stats / worth-checker,Auto-generated stats / scraper page,,Window and Door Replacement in Atlanta North Georgia ...,https://complaintinfo.com/h-complaints/hometech-windows-complaints.html,nofollow,11,0,11,yes,0.0,6,6,0,0,,11,104.21.35.245,,,footprint: Auto-generated stats / worth-checker | no organic traffic/kw (auth=6),
domainanalysis.org,DISAVOW,P1 – Core (disavow),HIGH,Auto-generated stats / worth-checker,Auto-generated stats / scraper page,,performingwindows.com,https://domainanalysis.org/page-18c6f7b2b74807a8ca4d96aec043dde8.html,dofollow,63,63,0,yes,0.0,2,2,0,0,,63,184.168.115.60,sg,,"footprint: Auto-generated stats / worth-checker | link-network IP 184.168.115.60 (+8 siblings) | known link-farm IP block | dead (auth=2,0 traffic,0 kw)",
domainsc.com,DISAVOW,P1 – Core (disavow),HIGH,Auto-generated stats / worth-checker,Auto-generated stats / scraper page,,performingwindows.com,https://domainsc.com/page-18c6f7b2b74807a8ca4d96aec043dde8.html,dofollow,62,62,0,yes,0.0,2,2,0,0,,62,184.168.115.60,sg,,"footprint: Auto-generated stats / worth-checker | link-network IP 184.168.115.60 (+8 siblings) | known link-farm IP block | dead (auth=2,0 traffic,0 kw)",
getwebsiteworth.com,DISAVOW,P1 – Core (disavow),HIGH,Auto-generated stats / worth-checker,Auto-generated stats / scraper page,,northpointwindows.com,https://getwebsiteworth.com/0735674f420eb4305092bacc860401a2-l/,dofollow,57,57,0,yes,0.0,3,3,0,0,,57,118.139.178.110,sg,,"footprint: Auto-generated stats / worth-checker | known link-farm IP block | dead (auth=3,0 traffic,0 kw)",
gsitestatus.com,DISAVOW,P1 – Core (disavow),HIGH,Auto-generated stats / worth-checker,Auto-generated stats / scraper page,,http://www.ngwindows.com,https://gsitestatus.com/www/ngwindows.com,dofollow,4,4,0,yes,0.0,4,4,0,0,,4,172.67.136.161,,,footprint: Auto-generated stats / worth-checker | no organic traffic/kw (auth=4),
seodomains.website,DISAVOW,P1 – Core (disavow),HIGH,Auto-generated stats / worth-checker,Auto-generated stats / scraper page,,ngawindows.com,http://seodomains.website/domain/domain/part/168127,nofollow,36,0,36,yes,0.0,3,3,0,0,,36,172.67.212.159,,,"footprint: Auto-generated stats / worth-checker | dead (auth=3,0 traffic,0 kw)",
websiterace.com,DISAVOW,P1 – Core (disavow),HIGH,Auto-generated stats / worth-checker,Auto-generated stats / scraper page,,northpointwindows.com,https://websiterace.com/0735674f420eb4305092bacc860401a2-l/,dofollow,41,41,0,yes,0.0,2,2,0,0,,41,118.139.176.46,sg,,"footprint: Auto-generated stats / worth-checker | link-network IP 118.139.176.46 (+8 siblings) | known link-farm IP block | dead (auth=2,0 traffic,0 kw)",
websitescrawl.art,DISAVOW,P1 – Core (disavow),HIGH,Auto-generated stats / worth-checker,Auto-generated stats / scraper page,,performingwindows.com,http://www.websitescrawl.art/page-18c6f7b2b74807a8ca4d96aec043dde8.html,dofollow,19,19,0,yes,0.0,2,2,0,0,,19,118.139.181.85,sg,,"footprint: Auto-generated stats / worth-checker | link-network IP 118.139.181.85 (+31 siblings) | known link-farm IP block | dead (auth=2,0 traffic,0 kw)",
webworthchecker.cv,DISAVOW,P1 – Core (disavow),HIGH,Auto-generated stats / worth-checker,Auto-generated stats / scraper page,,performingwindows.com,http://www.webworthchecker.cv/page-18c6f7b2b74807a8ca4d96aec043dde8.html,dofollow,30,30,0,yes,0.0,2,2,0,0,,30,118.139.181.85,sg,,"footprint: Auto-generated stats / worth-checker | link-network IP 118.139.181.85 (+31 siblings) | known link-farm IP block | dead (auth=2,0 traffic,0 kw)",
23cucuc12es.blogspot.com,DISAVOW,P1 – Core (disavow),HIGH,Blogspot PBN / spam post,Spam blog post (Blogspot PBN),SPAM/money,ngwindows.com,https://23cucuc12es.blogspot.com/,nofollow,1,0,1,yes,0.0,2,2,0,0,,1,172.253.122.132,us,,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
6rpsskystyrenees.blogspot.com,DISAVOW,P1 – Core (disavow),HIGH,Blogspot PBN / spam post,Spam blog post (Blogspot PBN),SPAM/money,ngwindows.com,https://6rpsskystyrenees.blogspot.com/,nofollow,1,0,1,yes,0.0,2,2,0,0,,1,142.250.31.132,us,,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
9bobob15es.blogspot.com,DISAVOW,P1 – Core (disavow),HIGH,Blogspot PBN / spam post,Spam blog post (Blogspot PBN),SPAM/money,ngwindows.com,https://9bobob15es.blogspot.com/,nofollow,3,0,3,yes,0.0,2,2,0,0,,3,142.251.163.132,us,,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
alysonspes.blogspot.com,DISAVOW,P1 – Core (disavow),HIGH,Blogspot PBN / spam post,Spam blog post (Blogspot PBN),SPAM/money,https://thermalprowindows.com/,https://alysonspes.blogspot.com/,nofollow,10,0,10,yes,0.0,2,2,0,0,,10,172.253.139.132,us,,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
anamorphic-aes.blogspot.com,DISAVOW,P1 – Core (disavow),HIGH,Blogspot PBN / spam post,Spam blog post (Blogspot PBN),SPAM/money,ngwindows.com,https://anamorphic-aes.blogspot.com/,nofollow,1,0,1,yes,0.0,2,2,0,0,,1,172.253.63.132,us,,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
arceofswedenes.blogspot.com,DISAVOW,P1 – Core (disavow),HIGH,Blogspot PBN / spam post,Spam blog post (Blogspot PBN),SPAM/money,ngwindows.com,https://arceofswedenes.blogspot.com/,nofollow,1,0,1,yes,0.0,2,2,0,0,,1,142.251.111.132,us,,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
bifoldingdoorsraganamo.blogspot.com,DISAVOW,P1 – Core (disavow),HIGH,Blogspot PBN / spam post,Spam blog post (Blogspot PBN),SPAM/money,... Access Doc,http://bifoldingdoorsraganamo.blogspot.com/2015/02/frameless-bi-folding-doors.html,dofollow,2,2,0,yes,0.0,2,2,0,0,,2,192.178.155.132,us,,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
burnersgamershitasd.blogspot.com,DISAVOW,P1 – Core (disavow),HIGH,Blogspot PBN / spam post,Spam blog post (Blogspot PBN),SPAM/money,https://roiwindows.com/,https://burnersgamershitasd.blogspot.com/&output=application%2Fld+json,nofollow,146,0,146,yes,0.0,2,2,0,0,,149,142.251.163.132,us,,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
carwindowreplacementfukiyabo.blogspot.com,DISAVOW,P1 – Core (disavow),HIGH,Blogspot PBN / spam post,Spam blog post (Blogspot PBN),SPAM/money,Pictures of Car Window Replacement In Atlanta,https://carwindowreplacementfukiyabo.blogspot.com/2015/09/car-window-replacement-in-atlanta.html,dofollow,1,1,0,yes,0.0,2,2,0,0,,1,172.253.63.132,us,,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
