domain,final_verdict,confidence,note
civiltej.com,TOXIC,Med,AS3 nonsense name; no lawn relevance
hotonlinegaming.com,TOXIC,High,gambling/gaming off-topic high-risk vertical
isardomains.com,TOXIC,High,domain-reseller/directory name; link scheme signal
mygirlyspace.com,TOXIC,Med,off-topic lifestyle; AS3 low authority
revan-me.com,TOXIC,Med,AS3 randomized nonsense name; irrelevant
subhikh.com,TOXIC,Med,AS3 nonsense; foreign Sweden hosting
turfinstallpros.com,KEEP,Low,on-topic turf install; plausible lawn business
wants.cfd,TOXIC,High,spam-tld .cfd; nonsense low authority
wecelebrities.com,TOXIC,Med,celebrity gossip off-topic; AS3
writfy.com,TOXIC,Med,AS3 nonsense/writing-mill name; irrelevant
7minutos.es,TOXIC,Med,foreign Spanish news; off-topic
agroinsursas.com,TOXIC,Low,AS4 nonsense name; no relevance
animalstart.com,TOXIC,Med,off-topic animals content; AS4
archive-hu.com,TOXIC,Med,generic archive scraper; one-day link
betulcrime.com,TOXIC,Med,AS4 nonsense name; irrelevant
blinks.sbs,TOXIC,High,spam-tld .sbs; nonsense name
booksreadr.org,TOXIC,Med,off-topic books; India hosting cluster
eliotzigmundjazz.com,KEEP,Low,real jazz musician site; off-topic but legit
factmags.com,TOXIC,High,article magazine farm; shared IP with goooogla
global-rank.pages.dev,TOXIC,High,SEO rank name; pages.dev throwaway host
global-ranks.pages.dev,TOXIC,High,SEO rank name; pages.dev throwaway host
global-websites.pages.dev,TOXIC,High,SEO/directory name; pages.dev throwaway host
goooogla.com,TOXIC,High,Google typosquat; shared IP farm
greattraveladvisor.com,TOXIC,Med,travel off-topic generic commercial name
knows.monster,TOXIC,High,spam-tld .monster; nonsense name
lovetravellife.com,TOXIC,Med,travel off-topic; AS4
medidocs.com,TOXIC,Low,medical off-topic; AS4
slapshady.com,TOXIC,Med,AS4 nonsense name; irrelevant
startupwebsolutions.com.au,TOXIC,Med,generic SEO/web-agency name; low authority
unifiedgarden.com,KEEP,Low,garden on-topic content; plausible relevance
updatejakarta.com,TOXIC,Med,foreign Jakarta news; off-topic
webbys.pages.dev,TOXIC,High,pages.dev throwaway; generic name
weedspots.net,TOXIC,Low,likely cannabis directory; off-topic risk
all-aged-domains.com,TOXIC,High,aged-domain reseller; PBN/link-scheme name
aloysionunes.com,TOXIC,Low,person name off-topic; AS5
findabusinessthat.com,TOXIC,High,generic business directory farm
findingfarina.com,TOXIC,Low,off-topic personal blog; AS5
housesumo.com,KEEP,Low,home-improvement content site; adjacent relevance
mediaboooster.com,TOXIC,High,link/media-boost SEO service name
robuta.com,TOXIC,Low,brandable nonsense; no relevance
unanswered.io,TOXIC,Low,generic Q&A; off-topic low authority
webhubsites.com,TOXIC,High,web-hub/directory name; link-scheme signal
worldlinksites.com,TOXIC,High,link-farm/directory name; link scheme
bermudagrassbible.com,KEEP,High,bermuda grass lawn niche; on-topic legit
contractorsjunction.com,TOXIC,Med,contractor directory farm; low authority
developmentmi.com,TOXIC,Low,generic name; no relevance AS6
divisionesmodularesjq.com,TOXIC,Med,Spanish off-topic modular; irrelevant
dowjones.io,TOXIC,Med,Dow Jones brand impersonation typo
dreamlandsdesign.com,KEEP,Low,home design content site; adjacent relevance
eurekster.com,TOXIC,Med,defunct brand; 122 sitewide irrelevant links
houseandhomeonline.com,KEEP,Low,home content site; adjacent relevance
jobsapp.info,TOXIC,Med,jobs off-topic; .info low authority
keirseybooks.com,TOXIC,Low,books off-topic; AS6
landscapeatlas.com,KEEP,Low,landscape on-topic; plausible relevance
popularask.net,TOXIC,Med,Q&A article farm; off-topic
residencestyle.com,KEEP,Low,home decor content site; adjacent relevance
smoothdecorator.com,KEEP,Low,home decor content site; adjacent relevance
starcourts.com,TOXIC,Low,generic nonsense name; no relevance
theambiencenews.com,TOXIC,Med,news article farm; one-day link
usapridenetwork.us,TOXIC,Low,generic network name; low authority
richwaylandscape.com,KEEP,High,landscape company on-topic; legit relevance
southernlanka.lk,TOXIC,Med,Sri Lanka foreign; off-topic
thesocialhouseja.com,TOXIC,Low,Jamaica social off-topic; low authority
wealthyoverview.com,TOXIC,Low,finance off-topic content; AS7
gorentals.com.pa,TOXIC,Med,Panama rentals foreign; off-topic
greentechtree.com,TOXIC,Low,generic green-tech; off-topic low authority
allphazeirrigation.com,KEEP,High,irrigation company on-topic; legit relevance
swipenow.com,TOXIC,Low,generic app off-topic; low authority
designbysully.com,KEEP,Low,real designer portfolio; legit site
sisgroup.lk,TOXIC,Med,Sri Lanka foreign cluster; off-topic
thenllc.ca,TOXIC,Low,generic LLC Canada; off-topic
natureandsustainability.com,KEEP,Low,nature/garden content; adjacent relevance
pflanzensache.de,KEEP,Low,German plants/garden blog; on-topic
sergechel.info,TOXIC,Low,personal .info off-topic; low authority
sportmediaset.co,TOXIC,Med,Mediaset sport typo; off-topic
addresspage.com,TOXIC,Med,address listing directory; low authority
ejobscircular.com,TOXIC,Med,Bangladesh jobs off-topic; foreign
reputablebusinesses.com,TOXIC,High,business directory farm; one-day link
semalt.ai,TOXIC,High,notorious spam/SEO referrer brand
solvermatic.com,TOXIC,Low,generic off-topic; low authority
southfwb.com,TOXIC,Low,generic name; one-day low authority
websitescrawl.com,TOXIC,High,crawler/directory SEO name; link scheme
completegardening.com,KEEP,High,gardening on-topic content; legit relevance
dreamchaserhub.com,TOXIC,Low,generic hub off-topic; low authority
escuela-indecopi.edu.pe,TOXIC,Low,Peru edu hosted France; suspicious irrelevant
intently.co,TOXIC,Low,generic off-topic; low authority
olivare.com.ar,TOXIC,Med,Argentina one-day link; off-topic
openingtimes.co,TOXIC,Med,business-hours directory aggregator; off-topic
outsidetheboxmom.com,KEEP,Low,real mom lifestyle blog; legit site
resonancelabjo.com,TOXIC,Low,Jordan off-topic lab; irrelevant
bloggerinterrupted.com,KEEP,Low,real established blog; legit site
domaineye.com,KEEP,Low,recognized domain/SEO tool; auto-generated listing
linkcenter.com,TOXIC,High,link-farm/directory name; link scheme
pixwox.org,TOXIC,Med,Instagram scraper site; off-topic
renovationsup.com,KEEP,Low,renovation home-services; adjacent relevance
vangvela.com,TOXIC,Low,nonsense name off-topic; AS16
howto.org,KEEP,Low,generic how-to content platform; plausible
buyatreechangealife.com,TOXIC,Low,Aus lifestyle off-topic; irrelevant
designedbyai.io,TOXIC,Low,AI design tool off-topic; low authority
viral-status.com,TOXIC,Med,viral-content farm; off-topic
ohsospotless.com,KEEP,Low,cleaning home-services; adjacent relevance
intercom.help,KEEP,High,Intercom SaaS help docs; recognized platform
