domain,decision,priority,strict_verdict,why,follow,aclass,example_anchor,backlink_url,authority,dr,ascore,traffic,positions,is_spam,links,ip,country,tier_reason,link_checked
24-7pressrelease.com,KEEP,Keep,confirmed,Legitimate / high-authority — keep,nofollow,commercial,Atlanta replacement window installers,https://www.24-7pressrelease.com/press-release/385624/experts-at-north-georgia-replacement-windows-discuss-when-it-is-time-to-replace-your-windows,41,0.0,41,0,0,,11,104.26.5.183,,"low-quality, no spam signal",yes
accio.com,KEEP,Keep,confirmed,Legitimate / high-authority — keep,nofollow,empty/blank,7,,53,0.0,53,0,0,,1,3.171.85.76,us,"low-quality, no spam signal",yes
ahouseinthehills.com,KEEP,Keep,confirmed,Legitimate / high-authority — keep,dofollow,commercial,Entry door replacement,https://ahouseinthehills.com/your-front-door-is-the-most-underrated-feature-of-your-homes-exterior-heres-why-that-needs-to-change/,31,0.0,31,0,0,,1,104.21.58.64,,"dofollow, generic anchor — verify",yes
apple.com,KEEP,Keep,confirmed,Legitimate / high-authority — keep,nofollow,commercial,Website ngwindows.com,https://maps.apple.com/place?place-id=IE5E6D7355B75E492,100,0.0,100,0,0,,2,2.20.134.27,tr,"low-quality, no spam signal",yes
arounddeal.com,KEEP,Keep,confirmed,Legitimate / high-authority — keep,dofollow,commercial,http://ngwindows.com,https://www.arounddeal.com/c/north-georgia-replacement-windows/d4tgmvliez,27,0.0,27,0,0,,1,172.233.137.208,us,"dofollow, generic anchor — verify",yes
barbend.com,KEEP,Keep,confirmed,Legitimate / high-authority — keep,dofollow,empty/blank,6,,56,0.0,56,0,0,,1,3.171.100.114,us,"dofollow, generic anchor — verify",yes
bbb.org,KEEP,Keep,confirmed,Legitimate / high-authority — keep,nofollow,generic,Visit Website,,78,0.0,78,0,0,,2,104.18.13.85,,"low-quality, no spam signal",yes
bing.com,KEEP,Keep,confirmed,Legitimate / high-authority — keep,dofollow,commercial,ngwindows.com,https://4.bing.com/images/search?FORM=IRBPRS&q=Best%2BWindow%2BDesign,96,0.0,96,0,0,,2,150.171.28.10,us,"dofollow, generic anchor — verify",yes
bloomberry.com,KEEP,Keep,confirmed,Legitimate / high-authority — keep,nofollow,commercial,NG Windows,https://bloomberry.com/data/jamf-pro/,34,0.0,34,0,0,,2,162.159.135.42,us,"low-quality, no spam signal",yes
brightside.me,KEEP,Keep,confirmed,Legitimate / high-authority — keep,nofollow,other,curtains,https://brightside.me/articles/8-tips-on-how-to-combat-summer-heat-waves-808344/,49,0.0,49,0,0,,1,148.113.199.79,ca,"low-quality, no spam signal",yes
castbox.fm,KEEP,Keep,confirmed,Legitimate / high-authority — keep,nofollow,empty/blank,,https://castbox.fm/channel/Window-Wisdom-Podcast-id2570605,46,0.0,46,0,0,,1,172.66.159.47,,"low-quality, no spam signal",yes
chamberofcommerce.com,KEEP,Keep,confirmed,Legitimate / high-authority — keep,nofollow,generic,Website,https://www.chamberofcommerce.com/business-directory/georgia/alpharetta/window-installation-service/9463564-ng-windows,38,0.0,38,0,0,,3,104.20.45.205,,"low-quality, no spam signal",yes
constantcontact.com,KEEP,Keep,confirmed,Legitimate / high-authority — keep,dofollow,generic,Schedule A Free Consultation,https://myemail-api.constantcontact.com/18--off-is-yours----.html?aid=ixz6G5-VGzk&soid=1135076977129,47,0.0,47,0,0,,394,104.16.234.42,,"dofollow, generic anchor — verify",yes
constantcontactpages.com,KEEP,Keep,confirmed,Legitimate / high-authority — keep,dofollow,commercial,https://www.ngwindows.com/,https://lp.constantcontactpages.com/su/mc50I7z/ngrwnewsletters,40,0.0,40,0,0,,1,172.64.155.130,,"dofollow, generic anchor — verify",yes
conves.io,KEEP,Keep,confirmed,Legitimate / high-authority — keep,dofollow,commercial,ngwindows.com,https://328a9929-67a7-475b-ba75-788125a0ba4d.cc05.conves.io/my-alpharettas-best-of-2023-winners/,34,0.0,34,0,0,,11,216.194.174.25,us,"dofollow, generic anchor — verify",yes
coroflot.com,KEEP,Keep,confirmed,Legitimate / high-authority — keep,dofollow,commercial,North Georgia Replacement Windows,https://www.coroflot.com/dustydupree/profile,40,0.0,40,0,0,,1,172.67.70.137,,"dofollow, generic anchor — verify",yes
dexknows.com,KEEP,Keep,confirmed,Legitimate / high-authority — keep,nofollow,generic,Icon - external link Visit Website,https://www.dexknows.com/alpharetta-ga/windows-repair-replacement-installation,35,0.0,35,0,0,,10,172.64.146.75,,"low-quality, no spam signal",yes
diamondcertified.org,KEEP,Keep,confirmed,Legitimate / high-authority — keep,dofollow,generic,WEBSITE,https://www.diamondcertified.org/doors/ga/fulton-county/,37,0.0,37,0,0,,2,3.170.19.42,us,"dofollow, generic anchor — verify",yes
disgustingmen.com,KEEP,Keep,confirmed,Legitimate / high-authority — keep,nofollow,commercial,Window Replacement Company,https://disgustingmen.com/blog/10-disgusting-kickstarter-projects/,39,0.0,39,0,0,,18,172.67.132.171,,"low-quality, no spam signal",yes
dwmmag.com,KEEP,Keep,confirmed,Legitimate / high-authority — keep,dofollow,commercial,www.ngwindows.com,https://www.dwmmag.com/Door_and_Window_Maker/Backissues/2016/feb/topdealers.php,27,0.0,27,0,0,,1,35.212.121.11,us,"dofollow, generic anchor — verify",yes
energyswingwindows.com,KEEP,Keep,confirmed,Legitimate / high-authority — keep,dofollow,commercial,ngwindows.com.,https://energyswingwindows.com/blog/double-vs-triple-pane-windows,26,0.0,26,0,0,,1,199.60.103.13,us,"dofollow, generic anchor — verify",yes
enigma.com,KEEP,Keep,confirmed,Legitimate / high-authority — keep,nofollow,commercial,https://www.ngwindows.com,https://www.enigma.com/directory/ga/all-cities/window-installation-service/,35,0.0,35,0,0,,2,18.67.76.114,us,"low-quality, no spam signal",yes
enthrallinggumption.com,KEEP,Keep,confirmed,Legitimate / high-authority — keep,dofollow,commercial,"window replacement in Johns Creek, GA",https://enthrallinggumption.com/johns-creek-homeowners-guide-window-replacement-know-before-you-buy/,35,0.0,35,0,0,,2,104.21.84.206,,"dofollow, generic anchor — verify",yes
expertise.com,KEEP,Keep,confirmed,Legitimate / high-authority — keep,dofollow,generic,Visit Website,https://www.expertise.com/home-improvement/window-replacement-and-installation/georgia/roswell,44,0.0,44,0,0,,2,64.239.123.193,us,"dofollow, generic anchor — verify",yes
fixr.com,KEEP,Keep,confirmed,Legitimate / high-authority — keep,dofollow,commercial,(ngwindows.com),https://www.fixr.com/articles/window-installation-cost-a-detailed-breakdown,44,0.0,44,0,0,,1,151.101.2.132,us,"dofollow, generic anchor — verify",yes
glarity.app,KEEP,Keep,confirmed,Legitimate / high-authority — keep,nofollow,commercial,"Replacement Windows & Doors Suwanee, GA favicon ngwindows.com 1",https://askai.glarity.app/search/What-are-some-options-for-replacement-windows-and-doors-in-Suwanee--GA,37,0.0,37,0,0,,3,104.21.32.145,,"low-quality, no spam signal",yes
glass.com,KEEP,Keep,confirmed,Legitimate / high-authority — keep,dofollow,commercial,www.ngwindows.com,https://industry.glass.com/Door_and_Window_Maker/Backissues/2016/feb/topdealers.php,31,0.0,31,0,0,,1,35.212.99.39,us,"dofollow, generic anchor — verify",yes
glassonweb.com,KEEP,Keep,confirmed,Legitimate / high-authority — keep,dofollow,commercial,North Georgia Replacement Windows,https://www.glassonweb.com/news/window-door-dealer-day-2019-dealer-day-recap,31,0.0,31,0,0,,1,151.101.193.127,us,"dofollow, generic anchor — verify",yes
growjo.com,KEEP,Keep,confirmed,Legitimate / high-authority — keep,dofollow,empty/blank,,https://growjo.com/company/Apex_HCM,41,0.0,41,0,0,,8,172.67.74.237,,"dofollow, generic anchor — verify",yes
growthzoneapp.com,KEEP,Keep,confirmed,Legitimate / high-authority — keep,dofollow,commercial,www.ngwindows.com,https://williamsonin1.growthzoneapp.com/memberdirectory/Details/ng-windows-4969931,41,0.0,41,0,0,,6,172.170.249.2,us,"dofollow, generic anchor — verify",yes
hometownstation.com,KEEP,Keep,confirmed,Legitimate / high-authority — keep,dofollow,commercial,Atlanta replacement window company,https://www.hometownstation.com/featured-stories/8-signs-your-homes-windows-are-overdue-for-replacement-605700,39,0.0,39,0,0,,1,3.95.71.144,us,"dofollow, generic anchor — verify",yes
housedigest.com,KEEP,Keep,confirmed,Legitimate / high-authority — keep,dofollow,commercial,North Georgia Replacement Windows,https://www.housedigest.com/1217580/how-often-you-should-really-be-cleaning-your-window-screens/,45,0.0,45,0,0,,1,3.171.61.84,us,"dofollow, generic anchor — verify",yes
infinitywindows.com,KEEP,Keep,confirmed,Legitimate / high-authority — keep,dofollow,commercial,NG Windows,https://www.infinitywindows.com/blog/energy-efficient-windows-in-north-georgia,38,0.0,38,0,0,,1,76.76.21.21,us,"dofollow, generic anchor — verify",yes
inkl.com,KEEP,Keep,confirmed,Legitimate / high-authority — keep,dofollow,other,"Rotting wood feels soft, spongy, or crumbly",https://www.inkl.com/news/the-drafty-window-sign-that-means-you-have-hidden-rot,42,0.0,42,0,0,,1,5.161.36.213,us,"dofollow, generic anchor — verify",yes
lovehappensmag.com,KEEP,Keep,confirmed,Legitimate / high-authority — keep,dofollow,commercial,North Georgia Replacement Windows,https://www.lovehappensmag.com/blog/2026/01/01/3-best-companies-that-replace-bay-windows-in-georgia-for-a-home-refresh/,38,0.0,38,0,0,,1,94.46.183.193,pt,"dofollow, generic anchor — verify",yes
moneytalksnews.com,KEEP,Keep,confirmed,Legitimate / high-authority — keep,dofollow,commercial,NG Windows,https://www.moneytalksnews.com/slideshows/tips-to-boost-your-air-conditioner-this-summer/,45,0.0,45,0,0,,2,172.66.167.30,,"dofollow, generic anchor — verify",yes
neverbounce.com,KEEP,Keep,confirmed,Legitimate / high-authority — keep,nofollow,commercial,www.ngwindows.com,https://www.neverbounce.com/company/north-georgia-replacement-windows/356622296,44,0.0,44,0,0,,1,172.64.147.68,,"low-quality, no spam signal",yes
nextdoor.com,KEEP,Keep,confirmed,Legitimate / high-authority — keep,dofollow,commercial,www.ngwindows.com/specials,https://nextdoor.com/pages/north-georgia-replacement-windows-inc-roswell-ga/,73,0.0,73,0,0,,3,3.162.125.7,us,"dofollow, generic anchor — verify",yes
owler.com,KEEP,Keep,confirmed,Legitimate / high-authority — keep,nofollow,commercial,http://ngwindows.com/,https://www.owler.com/company/ngwindows,45,0.0,45,0,0,,1,23.212.249.208,us,"low-quality, no spam signal",yes
parse.gl,KEEP,Keep,confirmed,Legitimate / high-authority — keep,nofollow,commercial,https://www.ngwindows.com/blog/french-doors-for-every-home-style-traditional-modern-farmhouse-and-more,https://parse.gl/prompts/p/which-exterior-french-doors-suit-my-home--beea2f03-99e1-4078-9e3e-4a1f7560fadd,33,0.0,33,0,0,,2,104.26.10.159,,"low-quality, no spam signal",yes
pinterest.com,KEEP,Keep,confirmed,Legitimate / high-authority — keep,dofollow,empty/blank,,,100,0.0,100,0,0,,4,23.209.57.9,us,"dofollow, generic anchor — verify",yes
pinuphouses.com,KEEP,Keep,confirmed,Legitimate / high-authority — keep,dofollow,commercial,fiberglass window replacement,https://www.pinuphouses.com/fiberglass-vs-vinyl-windows-why-the-material-you-choose-changes-everything/,34,0.0,34,0,0,,1,104.21.7.247,,"dofollow, generic anchor — verify",yes
porch.com,KEEP,Keep,confirmed,Legitimate / high-authority — keep,nofollow,commercial,http://www.ngwindows.com,https://pro.porch.com/roswell-ga/window-contractors/north-georgia-replacement-windows-2/pp,36,0.0,36,0,0,,1,34.149.95.51,us,"low-quality, no spam signal",yes
processregister.com,KEEP,Keep,confirmed,Legitimate / high-authority — keep,dofollow,commercial,www.ngwindows.com,https://www.processregister.com/find/Find.asp?SearchKe=AllKey&SearchLo=ALL&SearchPa=1092&SearchSu=plastic&SearchTy=Product&cid=-1,23,0.0,23,0,0,,2,184.154.88.2,us,"dofollow, generic anchor — verify",yes
qualifiedremodeler.com,KEEP,Keep,confirmed,Legitimate / high-authority — keep,dofollow,commercial,www.ngwindows.com,https://www.qualifiedremodeler.com/infinity-from-marvin-by-north-georgia-replacement-windows/,36,0.0,36,0,0,,1,35.212.5.182,us,"dofollow, generic anchor — verify",yes
re-thinkingthefuture.com,KEEP,Keep,confirmed,Legitimate / high-authority — keep,dofollow,commercial,your windows will last for a long time,,49,0.0,49,0,0,,1,172.67.74.9,,"dofollow, generic anchor — verify",yes
roswell365.com,KEEP,Keep,confirmed,Legitimate / high-authority — keep,dofollow,commercial,North Georgia Replacement Windows,https://roswell365.com/event/deck-the-square-2023/,32,0.0,32,0,0,,2,35.215.87.68,us,"dofollow, generic anchor — verify",yes
seamless.ai,KEEP,Keep,confirmed,Legitimate / high-authority — keep,,empty/blank,,,46,0.0,46,0,0,,1,108.138.64.121,us,"low-quality, no spam signal",no (beyond sample)
sitelike.org,KEEP,Keep,confirmed,Legitimate / high-authority — keep,nofollow,commercial,ngwindows.com,https://www.sitelike.org/similar/ngw.ch/,45,0.0,45,0,0,,15,172.67.69.134,,"low-quality, no spam signal",yes
siteprice.org,KEEP,Keep,confirmed,Legitimate / high-authority — keep,nofollow,empty/blank,,https://www.siteprice.org/competitors/discountdoorsandmore.com,41,0.0,41,0,0,,1,104.21.46.92,,"low-quality, no spam signal",yes
sometimes-homemade.com,KEEP,Keep,confirmed,Legitimate / high-authority — keep,dofollow,commercial,NG Windows,https://sometimes-homemade.com/how-to-choose-the-right-window-style-for-every-room-in-your-home/,47,0.0,47,0,0,,1,104.21.92.175,,"dofollow, generic anchor — verify",yes
superpages.com,KEEP,Keep,confirmed,Legitimate / high-authority — keep,nofollow,generic,Visit Website,https://www.superpages.com/alpharetta-ga/windows-repair-replacement-installation,47,0.0,47,0,0,,15,172.64.154.144,,"low-quality, no spam signal",yes
thefuntimesguide.com,KEEP,Keep,confirmed,Legitimate / high-authority — keep,dofollow,commercial,shutters,https://homebuilding.thefuntimesguide.com/house-siding-options/,35,0.0,35,0,0,,1,172.67.220.187,,"dofollow, generic anchor — verify",yes
tntcode.com,KEEP,Keep,confirmed,Legitimate / high-authority — keep,nofollow,empty/blank,,https://domains.tntcode.com/ip/104.31.82.225,26,0.0,26,0,0,,2,104.26.0.125,,"low-quality, no spam signal",yes
vsbattles.com,KEEP,Keep,confirmed,Legitimate / high-authority — keep,nofollow,other,this,https://vsbattles.com/threads/calculation-requests-ii.104583/page-14,33,0.0,33,0,0,,1,104.26.5.95,,"low-quality, no spam signal",yes
weblancer.net,KEEP,Keep,confirmed,Legitimate / high-authority — keep,nofollow,commercial,https://www.ngwindows.com/,https://www.weblancer.net/freelance/dizain-saitov-9/dizain-saita-logo-1237122/,34,0.0,34,0,0,,1,104.26.2.9,,"low-quality, no spam signal",yes
williamsonchamber.com,KEEP,Keep,confirmed,Legitimate / high-authority — keep,dofollow,commercial,www.ngwindows.com,https://members.williamsonchamber.com/memberdirectory/Details/ng-windows-4969931,31,0.0,31,0,0,,6,172.170.249.2,us,"dofollow, generic anchor — verify",yes
windowanddoor.com,KEEP,Keep,confirmed,Legitimate / high-authority — keep,dofollow,commercial,North Georgia Replacement Windows Inc.,https://www.windowanddoor.com/article/and-winners-are,29,0.0,29,0,0,,2,2.22.245.83,gr,"dofollow, generic anchor — verify",yes
wiza.co,KEEP,Keep,confirmed,Legitimate / high-authority — keep,dofollow,generic,Go to website,https://wiza.co/d/north-georgia-replacement-windows/fc2a,40,0.0,40,0,0,,2,172.66.43.61,,"dofollow, generic anchor — verify",yes
yahoo.com,KEEP,Keep,confirmed,Legitimate / high-authority — keep,dofollow,commercial,www.ngwindows.com › blog › what-to-watch-out-for Watch for Rotting Window Sill Signs | NG Windows,https://it.search.yahoo.com/yp/search?ei=UTF-8&p=Bob%2BJohnson%2B%28musician%29,100,0.0,100,0,0,,5,66.218.84.137,us,"dofollow, generic anchor — verify",yes
yellowpages.com,KEEP,Keep,confirmed,Legitimate / high-authority — keep,nofollow,generic,Website,,67,0.0,67,0,0,,5,172.64.155.252,,"low-quality, no spam signal",yes
zoominfo.com,KEEP,Keep,confirmed,Legitimate / high-authority — keep,nofollow,commercial,www.ngwindows.com,https://www.zoominfo.com/c/north-georgia-replacement-windows/356622296,73,0.0,73,0,0,,1,104.16.117.43,,"low-quality, no spam signal",yes
