Referring Domain,Old Flag,Verdict,Backlinks (stated),Links Pulled,Follow,Nofollow,Unique Anchors,Top Anchor,Anchor Profile,Target Profile,Redirect Hosts,Affiliate Account IDs,Programme Banner IDs,Sponsor Path,Filler Anchors,Dead/Unreachable,Median Outlinks,Reason
2022topranked.com,No Link-Level Sample - Unverified,REVIEW_MANUALLY,1,1,1,0,1,,empty=1,product=1,,,,,0,0,0,"No single footprint dominates: anchors {'empty': 1}, targets {'product': 1}, 1 follow / 0 nofollow."
27.be,No Link-Level Sample - Unverified,REVIEW_MANUALLY,31,19,19,0,1,.com,descriptive=19,homepage=19,dtcx.com,,,,0,0,229,"No single footprint dominates: anchors {'descriptive': 19}, targets {'homepage': 19}, 19 follow / 0 nofollow."
2x9.co,Hosting Cluster - Verify Ownership,DISAVOW,8,8,8,0,4,nutropic.com,bare-domain=8,homepage=3;product=3;article=2,dtcx.com;nutropic.com;testolabpro.com,,,,0,0,10159,"Bare-domain anchors on pages carrying ~10159 outbound links — a domain-stats/shortener scraper reproducing a directory, not a citation."
3alamalafkar.online,"Spam-Associated TLD, Near-Zero Authority",KEEP_AFFILIATE_RETAIN,1,1,1,0,1,Performance Lab®,branded=1,article=1,,,,,0,0,23,"Descriptive or branded anchors pointing at deep articles and product pages, on a page with a normal outbound-link count — editorial citation shape."
500fitness.com,Hosting Cluster - Verify Ownership,KEEP_AFFILIATE_RETAIN,5,5,5,0,1,,empty=5,product=5,,542004f70c101,dba13121,,0,0,0,Target URLs carry affiliate account 542004f70c101 — a tracked partner in the client's own programme; that account operates 3 of these domains.
5913231.cc,Hosting Cluster - Verify Ownership,DISAVOW,5,5,5,0,4,nutropic.com,bare-domain=5,product=2;homepage=2;article=1,dtcx.com;nutropic.com;testolabpro.com,,,,0,0,10159,"Bare-domain anchors on pages carrying ~10159 outbound links — a domain-stats/shortener scraper reproducing a directory, not a citation."
60andover.net,No Link-Level Sample - Unverified,KEEP_AFFILIATE_RETAIN,13,13,7,6,9,Performance Lab Sleep Dietary Supplement product,branded=9;commercial-cta=2;descriptive=2,product=12;homepage=1,,6936889d20bfc,a2ad38c1,,0,0,5,Target URLs carry affiliate account 6936889d20bfc — a tracked partner in the client's own programme.
911auto.it,No Link-Level Sample - Unverified,DISAVOW,4,4,0,4,2,TG @LINKS_DEALER | EFFECTIVE SEO LINKS FOR WWW.PERFORMANCELAB.COM,vendor-advert=4,article=4,,,,,0,0,3007,Anchor text advertises a link-selling or hacked-site service (4/4 links). The page exists to sell links; this one is the sample.
9363.in,No Link-Level Sample - Unverified,DISAVOW,1,1,0,1,1,performancelab.com,bare-domain=1,homepage=1,,,,,0,0,1000,"Bare-domain anchors on pages carrying ~1000 outbound links — a domain-stats/shortener scraper reproducing a directory, not a citation."
955x.com,No Link-Level Sample - Unverified,REVIEW_MANUALLY,12,12,0,12,1,performancelab.com,bare-domain=12,homepage=12,,,,,0,12,11,"All 12 links are nofollow, so no equity passes; sequence as hygiene, not repair."
a1housingservicesltd.co.uk,No Link-Level Sample - Unverified,DISAVOW,3,3,0,3,1,TG @LINKS_DEALER | EFFECTIVE SEO LINKS FOR WWW.PERFORMANCELAB.COM,vendor-advert=3,article=3,,,,,0,0,29709,Anchor text advertises a link-selling or hacked-site service (3/3 links). The page exists to sell links; this one is the sample.
aboutyoublog.com,No Link-Level Sample - Unverified,REVIEW_MANUALLY,10,10,10,0,9,read more,descriptive=8;commercial-cta=2,homepage=8;product=2,nutropic.com,68990cbe508aa,a2ad38c1,,6,0,4,"Affiliate account 68990cbe508aa operates 43 of these domains, and this one is 6/10 filler anchors on follow links from a free blog platform. An affiliate ID says who built the link, not that it is safe to keep: follow affiliate links are a link-scheme exposure whoever placed them. This is a programme-compliance decision (require nofollow) rather than a spam call."
academicsongs.com,No Link-Level Sample - Unverified,KEEP_AFFILIATE_RETAIN,3,3,3,0,2,Buy performance lab From Official Website,branded=3,homepage=2;article=1,testolabpro.com,,,,0,3,3,Links route through the client's own brand estate (testolabpro.com).
adventurerz.com,No Link-Level Sample - Unverified,KEEP_AFFILIATE_RETAIN,42,56,0,56,7,Verdict:,descriptive=32;commercial-cta=16;branded=8,product=56,,,,,0,0,59,"Descriptive or branded anchors pointing at deep articles and product pages, on a page with a normal outbound-link count — editorial citation shape."
aevascience.pics,No Link-Level Sample - Unverified,DISAVOW,3,3,3,0,3,Taster box – 4 bars (£8.99),descriptive=2;branded=1,product=3,nutropic.com,,,,0,3,78,"Verbatim clone of a UK publisher commerce table, replicated across 15 throwaway domains (goodfood fingerprint)."
aferg.co,No Link-Level Sample - Unverified,REVIEW_MANUALLY,8,8,8,0,1,,empty=8,product=6;article=2,,,,,0,0,0,"No single footprint dominates: anchors {'empty': 8}, targets {'product': 6, 'article': 2}, 8 follow / 0 nofollow."
affiliatedataset.com,No Link-Level Sample - Unverified,REVIEW_MANUALLY,13,13,13,0,13,up to 30% · Pay-per-Sale View attached source,descriptive=10;commercial-cta=2;branded=1,homepage=13,,,,,0,0,11,"No single footprint dominates: anchors {'descriptive': 10, 'commercial-cta': 2, 'branded': 1}, targets {'homepage': 13}, 13 follow / 0 nofollow."
agelessstride.com,No Link-Level Sample - Unverified,KEEP_AFFILIATE_RETAIN,2,2,2,0,1,,empty=2,product=2,,5f1e14c2db517,a2ad38c1,,0,0,0,Target URLs carry affiliate account 5f1e14c2db517 — a tracked partner in the client's own programme; that account operates 3 of these domains.
aidevi.com,No Link-Level Sample - Unverified,KEEP_AFFILIATE_RETAIN,20,29,29,0,5,30 - 200,descriptive=29,article=29,,,,,0,0,35,"Descriptive or branded anchors pointing at deep articles and product pages, on a page with a normal outbound-link count — editorial citation shape."
algolinkers.com,No Link-Level Sample - Unverified,DISAVOW,3,3,0,3,2,nutropic.com,bare-domain=2;branded=1,product=2;homepage=1,nutropic.com,,,,0,0,1000,"Bare-domain anchors on pages carrying ~1000 outbound links — a domain-stats/shortener scraper reproducing a directory, not a citation."
alphapowershop.online,"Spam-Associated TLD, Near-Zero Authority",KEEP_AFFILIATE_RETAIN,1,1,1,0,1,[17],descriptive=1,article=1,,,,,0,0,19,"Descriptive or branded anchors pointing at deep articles and product pages, on a page with a normal outbound-link count — editorial citation shape."
altgng.com,No Link-Level Sample - Unverified,REVIEW_MANUALLY,10,10,10,0,1,https://www. performancelab.com/blogs/nutrition/inositol-f or-men,raw-url=10,article=10,,,,,0,0,13,"10/10 anchors are the bare target URL, replicated across a templated footprint. No exact-match commercial anchor, so low equity risk, but not editorial either."
analyticshaven.top,Hosting Cluster - Verify Ownership,DISAVOW,7,4,0,4,3,testolabpro.com,bare-domain=4,article=2;product=1;homepage=1,nutropic.com;testolabpro.com,,,,0,0,3500,"Bare-domain anchors on pages carrying ~3500 outbound links — a domain-stats/shortener scraper reproducing a directory, not a citation."
anchor-blog.com,No Link-Level Sample - Unverified,REVIEW_MANUALLY,15,24,24,0,9,click here,descriptive=13;commercial-cta=8;branded=3,homepage=19;product=5,nutropic.com,68990cbe508aa,a2ad38c1,,16,0,4,"Affiliate account 68990cbe508aa operates 43 of these domains, and this one is 16/24 filler anchors on follow links from a free blog platform. An affiliate ID says who built the link, not that it is safe to keep: follow affiliate links are a link-scheme exposure whoever placed them. This is a programme-compliance decision (require nofollow) rather than a spam call."
anchorurl.cloud,Hosting Cluster - Verify Ownership,DISAVOW,4,4,0,4,3,dtcx.com,bare-domain=4,homepage=3;article=1,dtcx.com;testolabpro.com,,,,0,0,3500,"Bare-domain anchors on pages carrying ~3500 outbound links — a domain-stats/shortener scraper reproducing a directory, not a citation."
