domain,decision,priority,strict_verdict,why,follow,aclass,example_anchor,backlink_url,authority,dr,ascore,traffic,positions,is_spam,links,ip,country,tier_reason,link_checked
100xrecruiting.com,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,dofollow,commercial,🌐 www.ngwindows.com ↗,https://100xrecruiting.com/company/ng-windows,2,0.0,2,0,0,,1,216.24.57.1,us,exact-match commercial anchor,yes
128.199.173.17,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,,empty/blank,,,0.0,0.0,0,0,0,,278,128.199.173.17,,raw-IP domain,no (beyond sample)
142.54.190.10,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,dofollow,empty/blank,.,http://142.54.190.10/exterior-shutters-atlanta-georgia/,0.0,0.0,0,0,0,,5,,,raw-IP domain,yes
1builder.us,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,nofollow,commercial,https://www.ngwindows.com/blog/tips-for-choosing-replacement-windows-for-a-historic-home,https://1builder.us/uncategorized/whats-the-best-window-brand-for-a-historic-home-renovation/,2,0.0,2,0,0,,3,104.21.49.205,,exact-match commercial anchor,yes
1stcallglasscare.com,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,dofollow,commercial,northgeorgiawindows.net,https://1stcallglasscare.com/affordable-link-building-services-233/,3,0.0,3,0,0,,6,104.21.21.200,,exact-match commercial anchor,yes
5minuteguide.net,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,nofollow,commercial,Vinyl Windows Atlanta,http://5minuteguide.net/tutorials/how-to-enable-popup-blocker-in-firefox/,0.0,0.0,0,0,0,,2,23.229.209.5,,exact-match commercial anchor,yes
afewgoodygumdrops.com,DISAVOW,P2 – Recommended (disavow),UPGRADED review→disavow,Borderline — manual check,dofollow,commercial,replacement windows,https://www.afewgoodygumdrops.com/2023/06/designing-a-timeless-dream-house-as-fashionable-as-you-are.html,12,0.0,12,0,0,,1,209.59.154.115,us,exact-match commercial anchor,yes
airlive.us,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,dofollow,commercial,Sunroom Contractor : Home improvement contractor logo best design and,http://airlive.us/20170908105255_sunroom-contractor/,0.0,0.0,0,0,0,,1,,,exact-match commercial anchor,yes
apsibr.pics,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,nofollow,commercial,https://www.ngwindows.com/blog/standard-door-sizes,https://apsibr.pics/articles/is-roblox-ok-for-a-9,0.0,0.0,0,0,0,,18,188.114.96.2,,exact-match commercial anchor,yes
asenor.pics,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,nofollow,commercial,https://www.ngwindows.com/blog/standard-door-sizes,https://asenor.pics/articles/what-is-the-scale-1-to-500,0.0,0.0,0,0,0,,9,188.114.96.2,,exact-match commercial anchor,yes
athomeinthefutureblog.com,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,dofollow,commercial,"window installation company, North Georgia Replacement Windows",https://athomeinthefutureblog.com/2022/02/added-value-new-windows-worth/,2,0.0,2,0,0,,1,172.67.149.71,,exact-match commercial anchor,yes
awesomepix.net,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,dofollow,commercial,Crawl Space Door Insulation Custom Crawl Space Doors Custom Crawl Space Doors Source Abuse Report,http://awesomepix.net/crawl+space+door+insulation,0.0,0.0,0,0,0,,2,,,exact-match commercial anchor,yes
awesomewomanproject.com,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,dofollow,commercial,ngwindows.com,https://www.awesomewomanproject.com/2022/08/how-to-install-replacement-windows/,2,0.0,2,0,0,,1,45.32.218.188,us,exact-match commercial anchor,yes
azbaseimages.net,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,dofollow,commercial,Window Grill Designs Designer Collection Windows Designer Collection Windows Source Abuse Report,http://azbaseimages.net/window+grill+designs,0.0,0.0,0,0,0,,1,,,exact-match commercial anchor,yes
bbuidco.in,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,nofollow,commercial,https://www.ngwindows.com/blog/standard-door-sizes,https://bbuidco.in/articles/do-guinea-pigs-need-a-wheel,0.0,0.0,0,0,0,,16,188.114.97.2,,exact-match commercial anchor,yes
bcb370.com,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,dofollow,commercial,Top three reasons to install sunroom additions this summer Top three reasons to install sunroom additions this summer,http://www.bcb370.com/sunroom-additions.html,0.0,0.0,0,0,0,,1,,,exact-match commercial anchor,yes
beihaishitrade.com,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,dofollow,commercial,Our Family | North Georgia Replacement Windows,https://www.beihaishitrade.com/wp-content/uploads/2023/5p6kj/article.php?tag=rebecca-fitoussi-caps,0.0,0.0,0,0,0,,2,172.67.161.178,,exact-match commercial anchor,yes
bergenviewtrail.com,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,dofollow,commercial,WebSome of the other types of round top windows we offer are shown below. Round top window with extended legs Left quarter round top window. Picture window with a round top …,https://bzzr.bergenviewtrail.com/,0.0,0.0,0,0,0,,1,104.21.42.4,,exact-match commercial anchor,yes
bestaround.com,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,nofollow,commercial,ngwindows.com,https://bestaround.com/listing/latx9syrr6/north-georgia-replacement-windows-alpharetta-ga,2,0.0,2,0,0,,1,104.21.48.173,,exact-match commercial anchor,yes
bestbeautyschoolincalgary.com,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,dofollow,commercial,WebSome of the other types of round top windows we offer are shown below. Round top window with extended legs Left quarter round top window. Picture window with a round top …,https://wvxv.bestbeautyschoolincalgary.com/top-of-exterior-window/34771369,0.0,0.0,0,0,0,,1,188.114.97.2,,exact-match commercial anchor,yes
bizvelora.com,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,nofollow,commercial,http://www.ngwindows.com,https://bizvelora.com/sales-manager/atlanta/sean-newberry-atlanta-4412,2,0.0,2,0,0,,1,103.138.189.54,sg,exact-match commercial anchor,yes
bizzibid.com,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,nofollow,commercial,www.ngwindows.com/,http://bizzibid.com/listing/12290/,6,0.0,6,0,0,,4,216.137.176.69,us,exact-match commercial anchor,yes
blogroselin.com,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,nofollow,commercial,Windows Atlanta,http://blogroselin.com/articulo-4/padre-2/,0.0,0.0,0,0,0,,1,,,exact-match commercial anchor,yes
briefconcepts.com,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,nofollow,commercial,Window replacement in atlanta north georgia replacement Window replacement in atlanta north georgia replacement Download,http://briefconcepts.com/exterior-traditional-exterior-atlanta-by-april/,0.0,0.0,0,0,0,,1,,,exact-match commercial anchor,yes
