domain,decision,tier,reason,follow,anchor_text,example_backlink,authority,traffic,is_spam,ip,review_note
01webdirectory.com,DISAVOW,P1 Core,Spam directory listing,dofollow,NG Windows,https://www.01webdirectory.com/windows-walls.htm,20,0,,88.99.0.6,confirmed
1000.co.in,DISAVOW,P1 Core,Multiple spam signals (dead + farm-IP / spam-flag),dofollow,performingwindows.com,http://www.1000.co.in/page-18c6f7b2b74807a8ca4d96aec043dde8.html,2,0,,118.139.181.85,confirmed
23cucuc12es.blogspot.com,DISAVOW,P1 Core,Spam blog post (Blogspot PBN),nofollow,ngwindows.com,https://23cucuc12es.blogspot.com/,2,0,,172.253.122.132,confirmed
2x9.co,DISAVOW,P1 Core,Multiple spam signals (dead + farm-IP / spam-flag),dofollow,performingwindows.com,https://2x9.co/page-18c6f7b2b74807a8ca4d96aec043dde8.html,2,0,,118.139.178.200,confirmed
6rpsskystyrenees.blogspot.com,DISAVOW,P1 Core,Spam blog post (Blogspot PBN),nofollow,ngwindows.com,https://6rpsskystyrenees.blogspot.com/,2,0,,142.250.31.132,confirmed
99backlinksbuy.com,DISAVOW,P1 Core,Paid-link / backlink-seller site,nofollow,ngwindows.com,https://99backlinksbuy.com/ashgeoseo/,2,0,,203.161.54.114,confirmed
9bobob15es.blogspot.com,DISAVOW,P1 Core,Spam blog post (Blogspot PBN),nofollow,ngwindows.com,https://9bobob15es.blogspot.com/,2,0,,142.251.163.132,confirmed
abyoxohg.xyz,DISAVOW,P1 Core,Multiple spam signals (dead + farm-IP / spam-flag),,,,0.0,0,TRUE,104.21.96.1,confirmed
acquire.co.in,DISAVOW,P1 Core,Multiple spam signals (dead + farm-IP / spam-flag),nofollow,thermatrustwindows.com,https://www.acquire.co.in/domains/269465/760de356a7622c409ebb8094b31ff6fe/,2,0,,92.249.46.138,confirmed
adcreativevideo.com,DISAVOW,P1 Core,Low-quality / dead domain,dofollow,High Quality Dofollow Backlinks DA 50 PA 40 Premium PBN Network Service roiwindows.com Rank First Page Google Fast SEO Link Building Buy Backlinks Online Cheap,https://adcreativevideo.com/all/2479/11.html,2,0,,172.67.184.163,confirmed
